threshold,precision,recall,f1_score
0.05,0.004691756634042982,0.9489795918367347,0.009337349397590362
0.06,0.014816020840117225,0.9285714285714286,0.029166666666666667
0.07,0.050197405527354765,0.9081632653061225,0.0951362907536077
0.08,0.14846416382252559,0.8877551020408163,0.2543859649122807
0.09,0.2770700636942675,0.8877551020408163,0.4223300970873786
0.1,0.38495575221238937,0.8877551020408163,0.5370370370370371
0.11,0.48314606741573035,0.8775510204081632,0.6231884057971014
0.12,0.5695364238410596,0.8775510204081632,0.6907630522088354
0.13,0.6370370370370371,0.8775510204081632,0.7381974248927039
0.14,0.6854838709677419,0.8673469387755102,0.7657657657657657
0.15,0.7,0.8571428571428571,0.7706422018348624
0.16,0.7155172413793104,0.8469387755102041,0.7757009345794392
0.17,0.7155172413793104,0.8469387755102041,0.7757009345794392
0.18,0.7217391304347827,0.8469387755102041,0.7793427230046949
0.19,0.7345132743362832,0.8469387755102041,0.7867298578199052
0.2,0.7387387387387387,0.8367346938775511,0.784688995215311
0.21,0.7592592592592593,0.8367346938775511,0.7961165048543689
0.22,0.780952380952381,0.8367346938775511,0.8078817733990148
0.23,0.7864077669902912,0.826530612244898,0.8059701492537313
0.24,0.7941176470588235,0.826530612244898,0.81
0.25,0.7878787878787878,0.7959183673469388,0.7918781725888325
0.26,0.7878787878787878,0.7959183673469388,0.7918781725888325
0.27,0.7878787878787878,0.7959183673469388,0.7918781725888325
0.28,0.7857142857142857,0.7857142857142857,0.7857142857142857
0.29,0.7857142857142857,0.7857142857142857,0.7857142857142857
0.3,0.7938144329896907,0.7857142857142857,0.7897435897435897
0.31,0.8085106382978723,0.7755102040816326,0.7916666666666666
0.32,0.8085106382978723,0.7755102040816326,0.7916666666666666
0.33,0.8064516129032258,0.7653061224489796,0.7853403141361257
0.34,0.8043478260869565,0.7551020408163265,0.7789473684210526
0.35,0.8,0.7346938775510204,0.7659574468085106
0.36,0.8181818181818182,0.7346938775510204,0.7741935483870968
0.37,0.8117647058823529,0.7040816326530612,0.7540983606557377
0.38,0.8048780487804879,0.673469387755102,0.7333333333333333
0.39,0.8148148148148148,0.673469387755102,0.7374301675977654
0.4,0.825,0.673469387755102,0.7415730337078652
0.41,0.8227848101265823,0.6632653061224489,0.7344632768361582
0.42,0.8205128205128205,0.6530612244897959,0.7272727272727273
0.43,0.8311688311688312,0.6530612244897959,0.7314285714285714
0.44,0.8378378378378378,0.6326530612244898,0.7209302325581395
0.45,0.8695652173913043,0.6122448979591837,0.718562874251497
0.46,0.8676470588235294,0.6020408163265306,0.7108433734939759
0.47,0.8656716417910447,0.5918367346938775,0.703030303030303
0.48,0.8548387096774194,0.5408163265306123,0.6625
0.49,0.864406779661017,0.5204081632653061,0.6496815286624203
0.5,0.864406779661017,0.5204081632653061,0.6496815286624203
0.51,0.8620689655172413,0.5102040816326531,0.6410256410256411
0.52,0.8620689655172413,0.5102040816326531,0.6410256410256411
0.53,0.8727272727272727,0.4897959183673469,0.6274509803921569
0.54,0.8703703703703703,0.47959183673469385,0.618421052631579
0.55,0.8653846153846154,0.45918367346938777,0.6
0.56,0.8653846153846154,0.45918367346938777,0.6
0.57,0.88,0.4489795918367347,0.5945945945945946
0.58,0.8958333333333334,0.4387755102040816,0.589041095890411
0.59,0.8888888888888888,0.40816326530612246,0.5594405594405595
0.6,0.8837209302325582,0.3877551020408163,0.5390070921985816
0.61,0.875,0.35714285714285715,0.5072463768115942
0.62,0.8974358974358975,0.35714285714285715,0.5109489051094891
0.63,0.8857142857142857,0.3163265306122449,0.46616541353383456
0.64,0.8787878787878788,0.29591836734693877,0.44274809160305345
0.65,0.8620689655172413,0.25510204081632654,0.3937007874015748
0.66,0.8888888888888888,0.24489795918367346,0.384
0.67,0.92,0.23469387755102042,0.37398373983739835
0.68,0.9166666666666666,0.22448979591836735,0.36065573770491804
0.69,0.9166666666666666,0.22448979591836735,0.36065573770491804
0.7,0.9047619047619048,0.19387755102040816,0.31932773109243695
0.71,0.9047619047619048,0.19387755102040816,0.31932773109243695
0.72,0.9047619047619048,0.19387755102040816,0.31932773109243695
0.73,0.875,0.14285714285714285,0.24561403508771928
0.74,0.8571428571428571,0.12244897959183673,0.21428571428571427
0.75,0.8181818181818182,0.09183673469387756,0.1651376146788991
0.76,0.7777777777777778,0.07142857142857142,0.1308411214953271
0.77,0.75,0.061224489795918366,0.11320754716981132
0.78,0.8571428571428571,0.061224489795918366,0.11428571428571428
0.79,0.8333333333333334,0.05102040816326531,0.09615384615384616
0.8,0.75,0.030612244897959183,0.058823529411764705
0.81,0.6666666666666666,0.02040816326530612,0.039603960396039604
0.82,0.6666666666666666,0.02040816326530612,0.039603960396039604
0.83,0.6666666666666666,0.02040816326530612,0.039603960396039604
0.84,0.6666666666666666,0.02040816326530612,0.039603960396039604
0.85,0.6666666666666666,0.02040816326530612,0.039603960396039604
0.86,1.0,0.01020408163265306,0.020202020202020204
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.94,0.0,0.0,0.0
0.95,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
